ID ,AMOUNT, TRAN_DATE  ,POST_DATE ,DESCRIPTION                                               ,CATEGORY_TEXT       
63,3.71,2013-03-27,2013-03-27,BURGER KING #999 BOSTON MA                                ,Cafes         
64,6.76,2013-03-27,2013-03-27,MCDONALDS F473 DARIEN CT                                  ,Cafes         
65,10,2013-03-29,2013-03-29,CHANDLER HEALTH CHANDLER AZ                               ,MedServices      
66,5.33,2013-03-30,2013-03-30,CVS/PHARMACY CHANDLER AZ                                  ,Merchandise         
67,9.8,2013-03-30,2013-03-30,PARIS PALACE TUCSON AZ                                    ,Cafes         
68,35,2013-03-31,2013-03-31,CARDIO HEALTH CHANDLER AZ                                 ,MedServices      
69,9.8,2013-04-01,2013-04-01,FRYS-FOOD-DRG #025 CHANDLER AZ                            ,Supermarkets        
70,6,2013-04-02,2013-04-02,BURGER KING #110 YUMA AZ                                  ,Cafes         
71,27.6,2013-04-04,2013-04-04,CITY OF PALO ALTO PARKN PALO ALTO CA                      ,Government Services 
72,2.09,2013-04-05,2013-04-05,MCDONALDS F152 AZ                                         ,Cafes         
73,6,2013-04-06,2013-04-06,BURGER KING #110 YUMA AZ                                  ,Cafes         
74,6,2013-04-07,2013-04-07,BURGER KING #110 YUMA AZ                                  ,Cafes         
75,6,2013-04-08,2013-04-08,BURGER KING #110 YUMA AZ                                  ,Cafes         
76,6,2013-04-09,2013-04-09,BURGER KING #110 YUMA AZ                                  ,Cafes         
77,22.34,2013-04-09,2013-04-09,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
78,13.74,2013-04-10,2013-04-10,FOOD CITY #143 TUCSON AZ                                  ,Supermarkets        
79,62.07,2013-04-11,2013-04-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
80,5.45,2013-04-12,2013-04-12,BURGER KING #769 YUMA AZ                                  ,Cafes         
81,12.74,2013-04-12,2013-04-12,CVS/PHARMACY YUMA AZ                                      ,Merchandise         
82,39.25,2013-04-12,2013-04-12,USPS 037663418 CHANDLER AZ                                ,Government Services 
83,82.38,2013-04-13,2013-04-13,ADVANTAGE INGLEWOOD CA                                    ,Entertainment/Travel
84,24.16,2013-04-13,2013-04-13,BCD-WESTERN LOS ANGELES CA                                ,Cafes         
85,5.45,2013-04-13,2013-04-13,N2 GREAT ST30031531 TUCSON AZ                             ,Cafes         
86,5.4,2013-04-13,2013-04-13,STARBUCKS C00355 LOS ANGELES CA                           ,Cafes         
87,10.71,2013-04-13,2013-04-13,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
88,12.95,2013-04-13,2013-04-13,PARIS PALACE TUCSON AZ                                    ,Cafes         
89,60,2013-04-15,2013-04-17,PARIS PALACE TUCSON AZ                                    ,Cafes         
90,63.92,2013-04-17,2013-04-17,FEDEX 875620 MEMPHIS TN                                   ,Services            
91,18.3,2013-04-18,2013-04-18,53272 ASSURANCE YUMA AZ 000097                            ,Cafes         
92,5.45,2013-04-18,2013-04-18,BURGER KING #110 YUMA AZ                                  ,Cafes         
93,6,2013-04-19,2013-04-19,BURGER KING #110 YUMA AZ                                  ,Cafes         
94,6.65,2013-04-19,2013-04-19,USPS 03633344 TUCSON AZ                                   ,Government Services 
95,2.73,2013-04-20,2013-04-20,AAMARK YUMA AZ                                            ,Cafes         
96,6.87,2013-04-20,2013-04-20,AAMARK YUMA AZ                                            ,Cafes         
97,5.45,2013-04-21,2013-04-21,BURGER KING #110 YUMA AZ                                  ,Cafes         
98,49.99,2013-04-22,2013-04-22,COX*TUCSON COMM SERV AZ                                   ,Services            
99,336.29,2013-04-22,2013-04-22,EXPEDIA* 13686 800-367-3476 NV                            ,Entertainment/Travel
100,9.8,2013-04-23,2013-04-23,PARIS PALACE TUCSON AZ                                    ,Cafes         
101,36.1,2013-04-28,2013-04-28,FEDEX 875717 MEMPHIS TN                                   ,Services            
102,22,2013-04-28,2013-04-28,KHAHAN RESTAURANT YUMA AZ                                 ,Cafes         
103,24.07,2013-04-29,2013-04-29,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
104,13.95,2013-04-29,2013-04-29,USPS 03638118 TUCSON AZ                                   ,Government Services 
105,12,2013-05-01,2013-05-01,PARIS PALACE TUCSON CA                                    ,Cafes         
106,10.85,2013-05-02,2013-05-02,FRYS-FOOD-DRG #025 TUCSON AZ                              ,Supermarkets        
107,23.4,2013-05-06,2013-05-06,PARIS PALACE TUCSON AZ                                    ,Cafes         
108,6.6,2013-05-07,2013-05-07,AAMARK YUMA AZ                                            ,Cafes         
109,69.64,2013-05-11,2013-05-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
110,8.98,2013-05-11,2013-05-11,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
111,12.95,2013-05-11,2013-05-11,PARIS PALACE TUCSON AZ                                    ,Cafes         
112,39.24,2013-05-14,2013-05-14,AMAZON DIGITASVCS 866-216-1072 WA B85AGUUSZM              ,Merchandise         
113,9.8,2013-05-21,2013-05-21,PARIS PALACE TUCSON AZ                                    ,Cafes         
114,13.7,2013-05-22,2013-05-22,PARIS PALACE TUCSON AZ                                    ,Cafes         
115,49.99,2013-05-23,2013-05-23,COX*TUCSON COMM SERV AZ                                   ,Services            
116,32.35,2013-05-24,2013-05-24,PARIS PALACE TUCSON AZ                                    ,Cafes         
117,6.1,2013-05-25,2013-05-25,JACK IN THE BOX 115 TUCSON AZ                             ,Cafes         
118,72.26,2013-05-28,2013-05-28,JIFFY LUBE #20 FLAGSTAFF AZ                               ,Automotive          
119,4.7,2013-05-28,2013-05-28,MCDONALDS F130 MAYER AZ                                   ,Cafes         
120,23.42,2013-05-28,2013-05-28,WAL-MART STORE - #15 FLAGSTAFF AZ                         ,Merchandise         
121,2.79,2013-05-31,2013-05-31,03077 CHEVRON 0309 FLAGSTAFF AZ                           ,BioGas            
122,43.99,2013-06-01,2013-06-01,ENTERPRISE CAR RENTA LOS ANGELES CA                       ,Entertainment/Travel
123,4.25,2013-06-01,2013-06-01,STARBUCKS C001101355 ALHAMBRA CA                          ,Cafes         
124,5.45,2013-06-03,2013-06-03,GREAT STEAK & POTATO YUMA AZ                              ,Cafes         
125,3.27,2013-06-08,2013-06-08,BURGER KING #207 YUMA AZ                                  ,Cafes         
126,67.72,2013-06-11,2013-06-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
127,4.77,2013-06-11,2013-06-11,MCDONALDS F152 AZ                                         ,Cafes         
128,11,2013-06-11,2013-06-11,PARIS PALACE TUCSON AZ                                    ,Cafes         
129,9.8,2013-06-12,2013-06-12,PARIS PALACE TUCSON AZ                                    ,Cafes         
130,23.47,2013-06-13,2013-06-13,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
131,51,2013-06-13,2013-06-13,PARIS PALACE TUCSON AZ                                    ,Cafes         
132,7.19,2013-06-17,2013-06-17,N3 STARBUCK3531 TUCSON AZ                                 ,Cafes         
133,53.38,2013-06-18,2013-06-18,BURLINGTON COAT FACT YUMA AZ                              ,Merchandise         
134,13.7,2013-06-18,2013-06-18,PARIS PALACE TUCSON AZ                                    ,Cafes         
135,12,2013-06-19,2013-06-19,BURLINGTON COAT FACT YUMA AZ                              ,Merchandise         
136,38.91,2013-06-19,2013-06-19,FEDEX 835191636 MEMPHIS TN                                ,Services            
137,27.6,2013-06-20,2013-06-20,CITY OF TUCSON PARKN TUCSON AZ                            ,Government Services 
138,85.76,2013-06-20,2013-06-20,PURITANS PRIDE 800-645-1030 NY 830635                     ,Supermarkets        
139,1959.7,2013-06-21,2013-06-21,BRITISH AIRWAYS (USD) NEW YORK IL                         ,Entertainment/Travel
140,1950.3,2013-06-21,2013-06-21,DELTA AIRLINES ARC SAATLANTA GA GTT INTERNATIONANEW YORK N,Entertainment/Travel
141,128.85,2013-06-22,2013-06-22,DRUGSTORE.COM DRUGSTORE.COMWA 38141                       ,Merchandise         
142,96.87,2013-06-22,2013-06-22,WWW.FINISHLINE.COM INDIANAPOLIS IN                        ,Merchandise         
143,48.88,2013-06-23,2013-06-23,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA QCCJUUS4OF           ,Merchandise         
144,14.27,2013-06-23,2013-06-23,AMAZON.COM AMZN.COM/BILLWA BMUUS1PR2J                     ,Merchandise         
145,69.68,2013-06-23,2013-06-23,AMAZON.COM AMZN.COM/BILLWA XV1CUUSYGK                     ,Merchandise         
146,49.99,2013-06-23,2013-06-23,COX*TUCSON COMM SERV 602-277-1000 AZ 40199976             ,Services            
147,3.77,2013-06-24,2013-06-24,WHOLESOME TUCSON AZ                                       ,Cafes         
148,6.42,2013-06-24,2013-06-24,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
149,12,2013-06-24,2013-06-24,PARIS PALACE TUCSON AZ                                    ,Cafes         
150,23,2013-06-26,2013-06-26,KITCHEN CHANDLER AZ                                       ,Cafes         
151,27.8,2013-06-27,2013-06-27,TARGET TUCSON AZ                                          ,Merchandise         
152,18.44,2013-07-01,2013-07-01,GNC #033 TUCSON AZ                                        ,Supermarkets        
153,9.82,2013-07-01,2013-07-01,N4 FOOD COU351 TUCSON AZ                                  ,Cafes         
154,12.44,2013-07-01,2013-07-01,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
155,2.92,2013-07-01,2013-07-01,USPS 03766064418 TUCSON AZ                                ,Government Services 
156,59.64,2013-07-11,2013-07-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
157,20,2013-07-12,2013-07-12,DELTA DUTY FREE ORLANDO FL                                ,Merchandise         
158,12.43,2013-07-18,2013-07-18,MACO DEMONDS WA                                           ,Cafes         
159,3.78,2013-07-18,2013-07-18,STARBUCKS C3059271 SEATTLE WA                             ,Cafes         
160,328.7,2013-07-18,2013-07-18,US AIRWAYS037274 800-428-4322 AZ                          ,Entertainment/Travel
161,3.41,2013-07-20,2013-07-20,WHOLEFDS TEM 10084 YUMA AZ                                ,Supermarkets        
162,8.32,2013-07-20,2013-07-20,WHOLEFDS TEM 10084 YUMA AZ                                ,Supermarkets        
163,17.3,2013-07-22,2013-07-22,535 ASSURCE YUMA AZ 000083                                ,Cafes         
164,76.63,2013-07-22,2013-07-22,FIRESTONE 00249512 SCOTTSDALE AZ                          ,Automotive          
165,3.48,2013-07-22,2013-07-22,JACK IN THE BOX TUCSON AZ                                 ,Cafes         
166,49.99,2013-07-24,2013-07-24,COX*TUCSON COMM SERV AZ                                   ,Services            
167,8.39,2013-07-24,2013-07-24,POTATO YUMA AZ                                            ,Cafes         
168,2.17,2013-07-26,2013-07-26,MCDONALDS F152 AZ                                         ,Cafes         
169,20,2013-07-28,2013-07-28,TUCSON HEALTH TUCSON AZ                                   ,MedServices      
170,123.74,2013-07-29,2013-07-29,555 DILLARDS CA                                           ,Department Stores   
171,92.64,2013-07-29,2013-07-29,FIRESTONE CA                                              ,Automotive          
172,100,2013-07-29,2013-07-29,TX FITNESS AZ                                             ,Entertainment/Travel
173,19.07,2013-07-29,2013-07-29,SUNFLOWER MARKETS CA                                      ,Supermarkets        
174,53.93,2013-07-30,2013-07-30,NORDSTROM #038 TUCSON AZ                                  ,Department Stores   
175,23.94,2013-07-31,2013-07-31,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA H6JUUS3WQW           ,Merchandise         
176,75,2013-08-01,2013-08-01,AMERICAN AIRLINES ARC TULSA OK EXPEDIA INC ATLANTA G      ,Entertainment/Travel
177,20,2013-08-01,2013-08-01,TUCSON FAMILY HEALTH TUCSON AZ                            ,MedServices      
178,25,2013-08-02,2013-08-02,AMAZON.COM AMZN.COM/BILLWA T0GTWUUSSP                     ,Merchandise         
179,22.99,2013-08-03,2013-08-03,BUY.COM 888-328-9266 CA 61504                             ,Merchandise         
180,39.99,2013-08-03,2013-08-03,BUY.COM 888-328-9266 CA 61498                             ,Merchandise         
181,29.74,2013-08-03,2013-08-03,HOMEDEPOT.COM 800-430-3376 CA                             ,Merchandise         
182,2.94,2013-08-04,2013-08-04,MCDONALDS F152 AZ                                         ,Cafes         
183,36.99,2013-08-04,2013-08-04,SMIL- SIC TUCSON AZ                                       ,MedServices      
184,2.17,2013-08-05,2013-08-05,MCDONALDS F152 AZ                                         ,Cafes         
185,154.7,2013-08-06,2013-08-06,US AIRWAYS ARC TUCSON AZ EXPEDIA INC ATLANTA G            ,Entertainment/Travel
186,37.39,2013-08-07,2013-08-07,AMAZON.COM AMZN.COM/BILLWA JPRL6UUS46                     ,Merchandise         
187,346.98,2013-08-07,2013-08-07,US AIRWAYS ARC TUCSON AZ EXPEDIA INC ATLANTA G            ,Entertainment/Travel
188,62.6,2013-08-11,2013-08-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
189,176.74,2013-08-12,2013-08-12,AMAZON.COM AMZN.COM/BILLWA NGFUUSKZ6V                     ,Merchandise         
190,14,2013-08-12,2013-08-12,HAIHOAN RESTAURANT YUMA AZ                                ,Cafes         
191,9.95,2013-08-15,2013-08-17,SUNFLOWER MARKETS CA                                      ,Supermarkets        
192,2.09,2013-08-16,2013-08-17,SNAPFISH 4027733 CA                                       ,Services            
193,29.76,2013-08-17,2013-08-17,AMAZON.COM AMZN.COM/BILLWA QHSDUUSSVZ                     ,Merchandise         
194,30,2013-08-17,2013-08-17,AMAZON.COM AMZN.COM/BILLWA UBUUSOOZQX                     ,Merchandise         
195,35,2013-08-17,2013-08-17,PARIS PALACE TUCSON AZ                                    ,Cafes         
196,49.99,2013-08-18,2013-08-18,AMAZON.COM AMZN.COM/BILLWA DSUUSFPSP8S                    ,Merchandise         
197,17.15,2013-08-19,2013-08-19,PARIS PALACE TUCSON AZ                                    ,Cafes         
198,59.27,2013-08-20,2013-08-20,GNC #092 TUCSON AZ                                        ,Supermarkets        
199,26.49,2013-08-20,2013-08-20,TARGET YUMA AZ                                            ,Merchandise         
200,45,2013-08-21,2013-08-21,"AWINSON, GILBERT AZ                                       ",Services            
201,4.36,2013-08-22,2013-08-22,AAMARK YUMA AZ                                            ,Cafes         
202,49.99,2013-08-23,2013-08-23,COX*TUCSON COMM SERV AZ                                   ,Services            
203,2.73,2013-08-24,2013-08-24,AAMARK YUMA AZ                                            ,Cafes         
204,4.91,2013-08-24,2013-08-24,AAMARK YUMA AZ                                            ,Cafes         
205,44.02,2013-08-25,2013-08-25,0203 CHEVRON 0206 YUMA AZ                                 ,BioGas            
206,10,2013-08-25,2013-08-25,PAYPA*SKYPE 402733 CA                                     ,Services            
207,19.4,2013-08-26,2013-08-26,PARIS PALACE TUCSON AZ                                    ,Cafes         
208,5.07,2013-08-27,2013-08-27,AAMARK YUMA AZ                                            ,Cafes         
209,3.6,2013-08-27,2013-08-27,BURGER KING #110 YUMA AZ                                  ,Cafes         
210,23.35,2013-08-28,2013-08-28,NOODLE CHANDLER AZ                                        ,Cafes         
211,20.26,2013-08-29,2013-08-29,AMAZON.COM AMZN.COM/BILLWA H2CUUSANUA                     ,Merchandise         
212,6.65,2013-08-29,2013-08-29,BURGER KING #081 YUMA AZ                                  ,Cafes         
213,10.92,2013-08-29,2013-08-29,BESTBUY COM 457733 CA                                     ,Services            
214,2.73,2013-08-31,2013-08-31,AAMARK YUMA AZ                                            ,Cafes         
215,2.94,2013-08-31,2013-08-31,BURGER KING #081 YUMA AZ                                  ,Cafes         
216,19.17,2013-09-01,2013-09-01,KHAI HOAN RESTAURANT YUMA AZ                              ,Cafes         
217,40,2013-09-02,2013-09-02,AMAZON.COM AMZN.COM/BILLWA KP7UUSGJYR                     ,Merchandise         
218,5.61,2013-09-03,2013-09-03,AAMARK YUMA AZ                                            ,Cafes         
219,8.99,2013-09-03,2013-09-03,MCDONALDS F7601 ANCHORAGE AK                              ,Cafes         
220,8,2013-09-04,2013-09-04,INFLIGHT AIRWAYS TUCSON AZ                                ,Entertainment/Travel
221,9.95,2013-09-08,2013-09-08,"BWI*BOINGO WIRELESS 800-880-4117 CA T1,A77BB1,25B         ",Services            
222,3.15,2013-09-08,2013-09-08,FRED MEYER #068 EAGLE RIVER AK                            ,Supermarkets        
223,7.84,2013-09-10,2013-09-10,AAMARK YUMA AZ                                            ,Cafes         
224,59.6,2013-09-11,2013-09-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
225,2.73,2013-09-12,2013-09-12,AAMARK YUMA AZ                                            ,Cafes         
226,3.76,2013-09-12,2013-09-12,AAMARK YUMA AZ                                            ,Cafes         
227,33.12,2013-09-12,2013-09-12,CVS/PHARMACY SCOTTSDALE AZ                                ,Merchandise         
228,33.12,2013-09-12,2013-09-12,CVS/PHARMACY SCOTTSDALE AZ                                ,Merchandise         
229,25,2013-09-12,2013-09-12,PARIS PALACE TUCSON AZ                                    ,Cafes         
230,54.24,2013-09-12,2013-09-12,USPS 0376606324418 SCOTTSDALE AZ                          ,Government Services 
231,16.25,2013-09-12,2013-09-12,WALGREENS #418 SCOTTSDALE AZ                              ,Merchandise         
232,16.25,2013-09-12,2013-09-12,WALGREENS #406 SCOTTSDALE AZ                              ,Merchandise         
233,2.09,2013-09-15,2013-09-17,MCDONALDS F152 AZ                                         ,Cafes         
234,18.8,2013-09-16,2013-09-17,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
235,9.93,2013-09-17,2013-09-17,FIVE GUYS-AZ # 03 YUMA AZ                                 ,Cafes         
236,20,2013-09-18,2013-09-18,HODO RESTAURANT MESA AZ                                   ,Cafes         
237,2.73,2013-09-19,2013-09-19,AAMARK YUMA AZ                                            ,Cafes         
238,3.76,2013-09-19,2013-09-19,AAMARK YUMA AZ                                            ,Cafes         
239,382.95,2013-09-19,2013-09-19,LORDANDTAYLOR.COM 800-223-7440 NY 1                       ,Merchandise         
240,2.17,2013-09-19,2013-09-19,MCDONALDS F152 AZ                                         ,Cafes         
241,2.17,2013-09-20,2013-09-20,MCDONALDS F152 AZ                                         ,Cafes         
242,6.97,2013-09-21,2013-09-21,MCDONALDS F11664 YUMA AZ                                  ,Cafes         
243,2.17,2013-09-22,2013-09-22,MCDONALDS F152 AZ                                         ,Cafes         
244,49.99,2013-09-23,2013-09-23,COX*TUCSON COMM SERV 602-277-1000 AZ 42058440             ,Services            
245,20,2013-09-23,2013-09-23,PAOHING RESTAURAN TUCSON AZ                               ,Cafes         
246,2.73,2013-09-24,2013-09-24,AAMARK YUMA AZ                                            ,Cafes         
247,3.76,2013-09-24,2013-09-24,AAMARK YUMA AZ                                            ,Cafes         
248,2.29,2013-09-25,2013-09-25,IKEA YUMA YUMA AZ                                         ,Merchandise         
249,9.24,2013-09-25,2013-09-25,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
250,20.3,2013-09-25,2013-09-25,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
251,3.76,2013-09-26,2013-09-26,AAMARK YUMA AZ                                            ,Cafes         
252,2.63,2013-09-26,2013-09-26,BURGER KING #110 YUMA AZ                                  ,Cafes         
253,2.17,2013-09-26,2013-09-26,MCDONALDS F152 AZ                                         ,Cafes         
254,7.63,2013-09-28,2013-09-28,AAMARK YUMA AZ                                            ,Cafes         
255,5.01,2013-09-29,2013-09-29,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
256,8.74,2013-09-29,2013-09-29,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
257,14.62,2013-09-30,2013-09-30,KHAI HOAN RESTAURANT YUMA AZ                              ,Cafes         
258,69.74,2013-10-01,2013-10-01,902 DILLARDS-FASHION SQR SCOTTSDALE AZ                    ,Department Stores   
259,7.84,2013-10-01,2013-10-01,AAMARK YUMA AZ                                            ,Cafes         
260,40,2013-10-01,2013-10-01,PARIS PALACE TUCSON AZ                                    ,Cafes         
261,163.4,2013-10-01,2013-10-01,US AIRWAYS037244996 800-428-4322 AZ                       ,Entertainment/Travel
262,6.73,2013-10-02,2013-10-02,STARBUCKS N30058093531 LOS ANGELES CA                     ,Cafes         
263,2.73,2013-10-03,2013-10-03,AAMARK YUMA AZ                                            ,Cafes         
264,3.76,2013-10-03,2013-10-03,AAMARK YUMA AZ                                            ,Cafes         
265,19,2013-10-03,2013-10-03,GROUPON INC. CHICAGO IL                                   ,Services            
266,2.17,2013-10-03,2013-10-03,MCDONALDS F152 AZ                                         ,Cafes         
267,30.73,2013-10-03,2013-10-03,REI.COM 800-4264840 SUMNER WA                             ,Merchandise         
268,298.16,2013-10-04,2013-10-04,AZ MOTOR VEHICLE DIV WEB TUCSON AZ                        ,Government Services 
269,2.17,2013-10-04,2013-10-04,MCDONALDS F152 AZ                                         ,Cafes         
270,5.22,2013-10-05,2013-10-05,BURGER KING #081 YUMA AZ                                  ,Cafes         
271,2.7,2013-10-06,2013-10-06,MCDONALDS F152 AZ                                         ,Cafes         
272,2.17,2013-10-07,2013-10-07,MCDONALDS F152 AZ                                         ,Cafes         
273,22.75,2013-10-07,2013-10-07,PARIS PALACE TUCSON AZ                                    ,Cafes         
274,20.01,2013-10-08,2013-10-08,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
275,33,2013-10-08,2013-10-08,PARIS PALACE TUCSON AZ                                    ,Cafes         
276,9.49,2013-10-09,2013-10-09,BURGER KING304031 LAS VEGAS NV                            ,Cafes         
277,2.17,2013-10-10,2013-10-10,MCDONALDS F152 AZ                                         ,Cafes         
278,4.01,2013-10-10,2013-10-10,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
279,62.46,2013-10-11,2013-10-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
280,2.17,2013-10-11,2013-10-11,MCDONALDS F152 AZ                                         ,Cafes         
281,2.17,2013-10-12,2013-10-12,MCDONALDS F152 AZ                                         ,Cafes         
282,2.17,2013-10-13,2013-10-13,MCDONALDS F152 AZ                                         ,Cafes         
283,2.94,2013-10-14,2013-10-14,MCDONALDS F152 AZ                                         ,Cafes         
